document_id,File Path,site_id,scenario_id,doc_length,n_paragraph,n_word
02_004_22c_100,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_100.txt,SMU,CN,804,12,283
02_004_22c_074,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_074.txt,SMU,CN,1093,17,355
02_004_22c_061,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_061.txt,SMU,CN,1033,22,318
02_004_22c_049,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_049.txt,SMU,CN,1012,35,324
02_004_32c_014,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_32c_014.txt,SMU,CN,1102,21,342
02_004_22c_088,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_088.txt,SMU,CN,846,23,288
02_004_22c_063,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_063.txt,SMU,CN,726,18,267
02_004_22c_066,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_066.txt,SMU,CN,854,23,296
02_004_22c_073,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_073.txt,SMU,CN,1046,23,304
02_004_22c_071,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_071.txt,SMU,CN,976,40,323
02_004_22c_002,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_002.txt,SMU,CN,853,29,275
02_004_22c_014,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_014.txt,SMU,CN,988,26,318
02_004_22c_015,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_015.txt,SMU,CN,846,27,269
02_004_22c_029,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_029.txt,SMU,CN,1152,13,322
02_004_22c_005,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_005.txt,SMU,CN,827,15,306
02_004_22c_038,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_038.txt,SMU,CN,1147,39,347
02_004_22c_010,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_010.txt,SMU,CN,1381,13,355
02_004_22c_012,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_012.txt,SMU,CN,819,12,300
02_004_22c_006,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_006.txt,SMU,CN,1028,25,314
02_004_22c_007,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_007.txt,SMU,CN,877,19,292
02_004_22c_037,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_037.txt,SMU,CN,1002,32,323
02_004_22c_024,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_024.txt,SMU,CN,818,29,282
02_004_22c_019,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_019.txt,SMU,CN,1094,17,300
02_004_22c_027,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_027.txt,SMU,CN,1068,17,366
02_004_22c_032,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_032.txt,SMU,CN,984,15,325
02_004_22c_069,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_069.txt,SMU,CN,909,13,320
02_004_22c_041,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_041.txt,SMU,CN,1151,26,332
02_004_22c_054,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_054.txt,SMU,CN,1186,24,374
02_004_22c_081,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_081.txt,SMU,CN,905,25,304
02_004_22c_042,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_042.txt,SMU,CN,1316,13,392
02_004_22c_056,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_056.txt,SMU,CN,787,23,278
02_004_22c_080,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_080.txt,SMU,CN,969,36,290
02_004_22c_084,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_084.txt,SMU,CN,1244,15,324
02_004_22c_053,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_053.txt,SMU,CN,879,17,316
02_004_22c_050,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_050.txt,SMU,CN,1177,29,331
02_004_22c_078,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_078.txt,SMU,CN,795,19,296
02_004_22c_086,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_086.txt,SMU,CN,1055,23,316
02_004_22c_092,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/CN/02_004_22c_092.txt,SMU,CN,1111,11,326
02_004_12c_097,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/QF/02_004_12c_097.txt,SMU,QF,952,11,258
02_004_12c_040,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/QF/02_004_12c_040.txt,SMU,QF,1102,41,304
02_004_12c_082,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/QF/02_004_12c_082.txt,SMU,QF,923,17,292
02_004_12c_094,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/QF/02_004_12c_094.txt,SMU,QF,1045,19,297
02_004_12c_057,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/QF/02_004_12c_057.txt,SMU,QF,833,15,252
02_004_12c_042,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/QF/02_004_12c_042.txt,SMU,QF,931,19,254
02_004_12c_095,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/QF/02_004_12c_095.txt,SMU,QF,997,15,293
02_004_12c_052,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/QF/02_004_12c_052.txt,SMU,QF,1237,27,322
02_004_12c_023,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/QF/02_004_12c_023.txt,SMU,QF,986,11,263
02_004_12c_008,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/QF/02_004_12c_008.txt,SMU,QF,1067,32,346
02_004_12c_021,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/QF/02_004_12c_021.txt,SMU,QF,843,27,245
02_004_12c_025,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/QF/02_004_12c_025.txt,SMU,QF,888,8,269
02_004_12c_026,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/QF/02_004_12c_026.txt,SMU,QF,772,29,249
02_004_12c_017,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/QF/02_004_12c_017.txt,SMU,QF,818,27,256
02_004_12c_003,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/QF/02_004_12c_003.txt,SMU,QF,1011,13,295
02_004_12c_001,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/QF/02_004_12c_001.txt,SMU,QF,1061,17,303
02_004_12c_028,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/QF/02_004_12c_028.txt,SMU,QF,1277,19,338
02_004_12c_039,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/QF/02_004_12c_039.txt,SMU,QF,972,39,302
02_004_12c_013,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/QF/02_004_12c_013.txt,SMU,QF,1039,25,293
02_004_12c_075,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/QF/02_004_12c_075.txt,SMU,QF,1063,20,307
02_004_12c_060,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/QF/02_004_12c_060.txt,SMU,QF,982,16,278
02_004_12c_048,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/QF/02_004_12c_048.txt,SMU,QF,1038,12,282
02_004_12c_0087,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/QF/02_004_12c_0087.txt,SMU,QF,1085,26,288
02_004_12c_089,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/QF/02_004_12c_089.txt,SMU,QF,673,17,230
02_004_12c_062,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/QF/02_004_12c_062.txt,SMU,QF,892,19,267
02_004_12c_0086,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/QF/02_004_12c_0086.txt,SMU,QF,1007,13,273
02_004_12c_072,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/QF/02_004_12c_072.txt,SMU,QF,781,13,257
02_004_12c_065,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/SMU/QF/02_004_12c_065.txt,SMU,QF,937,15,283
03_004_22c_012,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_004_22c_012.txt,RGV,CN,917,18,267
03_2022_004_22c_001,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_2022_004_22c_001.txt,RGV,CN,909,32,263
03_2022_004_22c_029,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_2022_004_22c_029.txt,RGV,CN,976,17,278
03_004_22c_007,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_004_22c_007.txt,RGV,CN,1037,27,274
03_004_22c_003,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_004_22c_003.txt,RGV,CN,1040,17,286
03_2022_004_22c_039,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_2022_004_22c_039.txt,RGV,CN,722,20,244
03_2022_004_22c_004,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_2022_004_22c_004.txt,RGV,CN,899,14,278
03_004_22c_016,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_004_22c_016.txt,RGV,CN,927,20,261
03_2022_004_22c_013,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_2022_004_22c_013.txt,RGV,CN,944,9,250
03_004_22c_029,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_004_22c_029.txt,RGV,CN,838,19,259
03_004_22c_072,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_004_22c_072.txt,RGV,CN,770,30,225
03_2022_004_22c_048,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_2022_004_22c_048.txt,RGV,CN,277,2,146
03_004_22c_073,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_004_22c_073.txt,RGV,CN,1053,27,270
03_2022_004_22c_067,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_2022_004_22c_067.txt,RGV,CN,879,13,269
03_004_22c_061,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_004_22c_061.txt,RGV,CN,1091,27,298
03_004_22c_063,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_004_22c_063.txt,RGV,CN,986,35,277
03_004_22c_077,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_004_22c_077.txt,RGV,CN,1008,17,260
03_2022_004_22c_058,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_2022_004_22c_058.txt,RGV,CN,589,15,229
03_2022_004_22c_064,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_2022_004_22c_064.txt,RGV,CN,893,15,265
03_004_22c_062,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_004_22c_062.txt,RGV,CN,697,37,214
03_004_22c_047,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_004_22c_047.txt,RGV,CN,909,13,275
03_004_22c_053,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_004_22c_053.txt,RGV,CN,946,21,268
03_2022_004_22c_069,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_2022_004_22c_069.txt,RGV,CN,729,21,254
03_2022_004_22c_055,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_2022_004_22c_055.txt,RGV,CN,857,17,254
03_2022_004_22c_083,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_2022_004_22c_083.txt,RGV,CN,895,15,245
03_2022_004_22c_057,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_2022_004_22c_057.txt,RGV,CN,797,14,255
03_2022_004_22c_043,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_2022_004_22c_043.txt,RGV,CN,539,16,219
03_004_22c_045,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_004_22c_045.txt,RGV,CN,695,35,222
03_004_22c_051,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_004_22c_051.txt,RGV,CN,897,9,259
03_2022_004_22c_047,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_2022_004_22c_047.txt,RGV,CN,724,11,247
03_2022_004_22c_053,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_2022_004_22c_053.txt,RGV,CN,960,13,264
03_004_22c_040,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_004_22c_040.txt,RGV,CN,1072,33,318
03_2022_004_22c_050,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_2022_004_22c_050.txt,RGV,CN,568,15,209
03_2022_004_22c_044,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_2022_004_22c_044.txt,RGV,CN,995,13,275
03_004_22c_030,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_004_22c_030.txt,RGV,CN,917,14,276
03_004_22c_033,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_004_22c_033.txt,RGV,CN,1150,29,303
03_2022_004_22c_021,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_2022_004_22c_021.txt,RGV,CN,849,51,262
03_004_22c_032,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_004_22c_032.txt,RGV,CN,595,15,204
03_2022_004_22c_019,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_2022_004_22c_019.txt,RGV,CN,562,23,206
03_004_22c_023,/Users/poppy/Documents/TeachSim Project/Robertson_Semantic/Data/RGV/CN/03_004_22c_023.txt,RGV,CN,979,29,273
